Title,Year,Origin,Material,Description,Mini Game Description (1 sentence),Imported,Prefab Name
Avalokiteshvara Bodhisattva in the Water-Moon Form (Shuiyue Guanyin),12th century,"Unknown artist, China","Wood, gesso and pigments","Of the many manifestations of the Bodhisattva Avalokiteshvara, perhaps none was more prevalent in East Asia than the uniquely Chinese form known as “Water-Moon Avalokiteshvara,” which later also spread to Korea and Japan. This form of the bodhisattva presides over his own paradise, Potolaka, which is described in scripture as a rugged seaside cave from which Avalokiteshvara could admire the reflection of the moon in the water. Appropriately, he appears meditative and relaxed and is seated informally in the “royal-ease” posture. Ornately dressed, with silk robes, fluttering sashes, jewelry, and an elaborate hairstyle, he also wears a headpiece that features an image of Amitābha, the buddha to whom Avalokiteshvara attends. Believers might look to a sculpture like this as a guide for their own journeys toward enlightenment.",,Yes,Shuiyue Guanyin
Yamantaka Mandala,1991,Monks of the Gyuto Tantric University,Colored silicate and adhesive on wood,"A mandala is a visual representation of the sacred Buddhist universe, which is used in meditation and initiation rites. The creation of a mandala is believed to benefit all beings, and the time and space it requires is consecrated through prayer, ritual music, and performance.
A team of monks-in residence created this colored sand mandala at the museum in 1991 over a period of four weeks. While sand mandalas are intended to be ephemeral, the MIA preserved it in order to honor the 1.2 million Tibetans who lost their lives to political-religious persecution during the 20th century.
The museum thanks the Tibetan American Foundation of Minnesota for bringing the Gyuto monks to Minnesota and for their efforts to preserve Tibetan cultural traditions.",,Yes,Yamantaka Mandala
Vessel in the Form of a Fish,c. 100 BCE - 600 CE,"Nasca Artists, Peru","Clay, Pigments","Nazca artists are known for their bold, colorful designs. Although they were acute observers of the world around them and depicted many plants and animals in their work, they seemed concerned less with naturalism than with capturing the spirit and liveliness of their subject matter. This fish is highly stylized, with scales suggested by brush strokes, and gills through sweeping lines. It is rounded and fat, attesting to flush times and an abundance of food. Fish were a key component of the Nazca diet and were often shown in their art.",,Yes,Fish Vessel
Vase,18th century,"Unknown Artist, China","Enamel, copper alloy","This vase derives from the bronze hu vessel but is made in cloisonné. The cloisonné technique reached China from Byzantium (present-day Istanbul) between 1200 and 1400 CE, but Chinese artisans made it their own. The general stylistic trend was toward bigger, more complicated and luxurious creations. During the Qing dynasty reigns of emperors Kangxi (r. 1662–1722) and Qianlong (r. 1736–95), cloisonné was perfected and reached its artistic summit. Colors were more delicate, and filigrees more flexible and fluent. Previously used for religious paraphernalia, cloisonné now embellished secular objects. This vase is a typical product of the 1700s. Supported on a straight foot ring, the globular body rises to a long, cylindrical neck and terminates in a lipped rim. The vase is decorated in colored enamels on a turquoise ground. Surrounding the neck are upright leaves; below on the shoulder is a band of interlocking Ts. Farther down is an elaborate band of cloud patterns, each resembling the head of a ruyi scepter, and a narrow frieze of small lotus scrolls. The main body, below a band of C-scrolls, is decorated with scrolling, stylized lotuses. The foot, base, and mouth rim are gilt.",,Yes,Vase
Hu Wine Vessel,5th Century BCE,"Unknown Artist, China",Bronze,"This storage vessel is one of an important group of hunting-scene hu. They show the influence of the nomadic art of China’s northern frontier. The four major bands depict men hunting birds, deer, boars, and tigers with spears, knives, and bows. Panels on the vessel’s shoulders show an archer shooting from the back of a four-horse chariot with driver. These pictorial scenes of human activity represent a revolutionary departure in bronze art. Previously, during the Shang and Zhou periods, sacred symbols and stylized animals were formally arranged with regard to hierarchy and strict symmetry. The subject here appears secular rather than religious.",,Yes,Hu Wine Vessel
"Winged dragon, one of a pair",5th-4th century BCE,"Unknown artist, China",Bronze,"The sculptural quality of these dashing beasts is conveyed by their stances, the proud carriage of their heads, and the apparent agility of their bodies. The forceful comma-shaped tails and their jaunty tufts, as well as the double-rope patterns on the moustaches, are typical elements of Warring States period art.",,Yes,Winged Dragon
Shōki capturing a demon with a hat,19th century,"Harumitsu, Japan",Ivory,"This is an ivory netsuke depicting Shōki, a figure in Chinese and Japanese mythology. Traditionally regarded as a vanquisher of ghosts and evil beings, and reputedly able to command 80,000 demons, his image is often painted on household gates as a guardian spirit, as well as in places of business where high-value goods are involved.",,Yes,Shoki
Baboon (Moon God Thoth),7th - 6th century BCE,Egypt,Faience,"Monkeys were kept as costly pets by the elite in ancient Egypt, yet their regal appearance and imposing presence also made them useful representations of gods in the Egyptian religion. The baboon was usually associated with Thoth, one of the moon gods. This animal has a hole in the crown that once held a lunar disk sitting on top of a crescent moon, an attribute of Thoth. For a 2,600-year-old artwork it is in remarkable condition, and though the animal is small in size, its posture and expression command authority.",,Yes,Baboon
Celestial Horse,25-220 CE,China,Bronze with traces of polychrome,"Chinese government envoys sent to central Asia returned to court marveling over a breed of “heavenly horse” like no other, a stout animal with powerful back and shoulders that worked so hard it sweated blood. The Chinese emperor Wu (r. 141–87 BCE) became obsessed with these stories and dispatched diplomats and later a military force to obtain the horses. His interest in these remarkable horses and the growing role horses played in military campaigns largely account for the popularity of the horse in art from the Han dynasty, in particular the era in which Wu ruled. Bronze horses such as this one were placed in elaborately furnished aristocratic tombs and were meant to provide transportation for the deceased in the afterlife. This spirited horse, a blend of ideal and real in its modeling, captures the spirit of the fabled “celestial horses” of the Han dynasty.",,Yes,Celestial Horse
Ceremonial vessel in the form of a Water Buffalo,1000-300 BCE,Unknown Artist,Earthenware with impressed designs,"Among the first domesticated animals in Thailand, the water buffalo was instrumental to the plowing of rice fields and also a likely symbol of abundance for the afterlife. These three vessels, including an exceptionally large one in the form of a water buffalo, were found as a group in graves, where they had been smashed as offerings over the bodies of the deceased. Now reconstructed, they present important developments from the earlier ceramics seen at left, with their use of multiple colors on a single vessel, incised and rope-marked patterns for surface texture, and inventive forms gracefully standing on several feet.",,Yes,Water Buffalo
